filename,search_query,source_url,page_url,license_hint,downloaded_at,collector,notes
roboflow_gecko_teddychiu/4906e0c1c9ce.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755684285_734107_mp4-0021_jpg.rf.79fafcbe134265282d214298bde5db63.jpg
roboflow_gecko_teddychiu/f27aa3ddacd0.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755789915_240473_mp4-0038_jpg.rf.310cb7301e3f2a4c362fe0954cc28835.jpg
roboflow_gecko_teddychiu/ead0df326dfe.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741601_192354_mp4-0084_jpg.rf.c940d17fce141e4fe4054af3c77107b1.jpg
roboflow_gecko_teddychiu/4620219dca3b.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755742528_906175_mp4-0089_jpg.rf.0c133485038b83844119a2e573cbecb6.jpg
roboflow_gecko_teddychiu/9eab7c43cddc.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741600_402027_mp4-0068_jpg.rf.d70843e35612b7efa513df435358a7f9.jpg
roboflow_gecko_teddychiu/cf2a437d6474.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741599_349076_mp4-0037_jpg.rf.7af0c463192f22f7362ae5e62747cb43.jpg
roboflow_gecko_teddychiu/dda772f8af06.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755684285_734107_mp4-0023_jpg.rf.55dac3f1b5b7ee20512b99db7c57a975.jpg
roboflow_gecko_teddychiu/792ed0091fc7.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755742528_906175_mp4-0091_jpg.rf.eb3fcffc2e037f14696829b18d9b4854.jpg
roboflow_gecko_teddychiu/60e2b41d9577.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0180_jpg.rf.6b6bcf033c454c574f54929c2f458148.jpg
roboflow_gecko_teddychiu/00ff2491e6ac.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755799320_294062_mp4-0145_jpg.rf.c415793d857805c4858b117542812b93.jpg
roboflow_gecko_teddychiu/e0e278219d9b.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0189_jpg.rf.57c07ec14ce369876e89fd82e5353a9f.jpg
roboflow_gecko_teddychiu/f1b2bb2d8e8f.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741601_192354_mp4-0038_jpg.rf.e77ba777a0627a8396e5bcd09e50643f.jpg
roboflow_gecko_teddychiu/d39ad51bc99f.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741601_192354_mp4-0029_jpg.rf.6a2e8da516e9e043b7a5dda44f6d8271.jpg
roboflow_gecko_teddychiu/e57f1aadceb6.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0062_jpg.rf.9842709e46b19e8d0ef4df5bd50f4cc4.jpg
roboflow_gecko_teddychiu/fd5100e2ba9e.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755684285_734107_mp4-0067_jpg.rf.8243d327b81d04d502a43dc69a238bab.jpg
roboflow_gecko_teddychiu/8d40c142ffa2.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755684285_734107_mp4-0066_jpg.rf.80b8ebc5596fd13ed8c835546849d375.jpg
roboflow_gecko_teddychiu/30c37962c0cb.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741601_192354_mp4-0082_jpg.rf.701a05784470a4db777955ca1c44b3c8.jpg
roboflow_gecko_teddychiu/f409042ca670.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0188_jpg.rf.158172020d6b4a36514bb805954f1e2b.jpg
roboflow_gecko_teddychiu/64f76d7b7d67.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755684285_734107_mp4-0069_jpg.rf.80f7acfa2ee5cc7fb297d016afb36c18.jpg
roboflow_gecko_teddychiu/cced7c021044.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0178_jpg.rf.7b5bf9c0cc8ab580abbf10f13df6fd2e.jpg
roboflow_gecko_teddychiu/822525aee5c2.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741600_759513_mp4-0060_jpg.rf.3d0f48d3ea68db0add0da4c96fb3630f.jpg
roboflow_gecko_teddychiu/594b14ddecd1.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0540_jpg.rf.09e82aebcdc205a0cb94f055ccba4bf3.jpg
roboflow_gecko_teddychiu/dabfa69893fc.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755799320_294062_mp4-0129_jpg.rf.eb44b87047c94ee00a7fe9c175e97a82.jpg
roboflow_gecko_teddychiu/eab0215fae75.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741600_402027_mp4-0070_jpg.rf.aab18bb06cff4ee684ff36902356ca52.jpg
roboflow_gecko_teddychiu/4f40aa08476e.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741601_192354_mp4-0087_jpg.rf.b9548409942a9912b56dc5b53c0861f2.jpg
roboflow_gecko_teddychiu/ee2bc9d77c11.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0545_jpg.rf.03fa536011f24f1609b130b319460523.jpg
roboflow_gecko_teddychiu/2de3f14b7468.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755742529_359314_mp4-0080_jpg.rf.c1e2b3d2562b5db589994f4a751465c8.jpg
roboflow_gecko_teddychiu/fe51acc82812.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0074_jpg.rf.d8cbc5d63c69b9d25970392231fb2462.jpg
roboflow_gecko_teddychiu/9c6d484fd8aa.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755684285_734107_mp4-0027_jpg.rf.27807fc93e8d4d6b1f2a4ce7c45189db.jpg
roboflow_gecko_teddychiu/818d56ead193.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741599_349076_mp4-0036_jpg.rf.bc7f73f568af8cbd593995e9233fc04f.jpg
roboflow_gecko_teddychiu/6cb922b5d22e.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755742528_906175_mp4-0094_jpg.rf.60fe83a01eab2e3d4ddd7b09996efe8f.jpg
roboflow_gecko_teddychiu/9f8ecc022432.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755742528_906175_mp4-0090_jpg.rf.b85dd7088d7cbc4088a3ab174f4adc65.jpg
roboflow_gecko_teddychiu/ad5fdd434017.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0471_jpg.rf.2439f8114a2c9ce211d4e70e0d40ee80.jpg
roboflow_gecko_teddychiu/0247d015214b.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755741600_759513_mp4-0057_jpg.rf.e8d7642d7f26f1b3e4e1c372579c622e.jpg
roboflow_gecko_teddychiu/76e79a806024.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0538_jpg.rf.2b6cee5bd799adb8706e868af73293a0.jpg
roboflow_gecko_teddychiu/01b37c04b125.jpg,,https://universe.roboflow.com/teddychiu/gecko-qxjbq,https://universe.roboflow.com/teddychiu/gecko-qxjbq,Public Domain,2026-06-17T10:37:09+00:00,roboflow,COCO import; orig=755923690_133960_mp4-0312_jpg.rf.22bbdac7fd86a65708b864981366ec39.jpg
